Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2812;Lahr;TT_TU;09.01.2004-23:00;09.01.2004-23:00;1;;eor;                                                                                                                                               
2812;Lahr;TT_TU;28.04.2004-00:00;28.04.2004-00:00;1;;eor;                                                                                                                                               
2812;Lahr;TT_TU;07.10.2004-17:00;07.10.2004-17:00;1;;eor;                                                                                                                                               
2812;Lahr;TT_TU;09.04.2007-15:00;09.04.2007-15:00;1;;eor;                                                                                                                                               
2812;Lahr;TT_TU;15.02.2009-13:00;15.02.2009-13:00;1;;eor;                                                                                                                                               
2812;Lahr;TT_TU;13.01.2014-01:00;13.01.2014-04:00;4;;eor;                                                                                                                                               
2812;Lahr;TT_TU;29.06.2021-14:00;29.06.2021-14:00;1;;eor;                                                                                                                                               
2812;Lahr;TT_TU;28.02.2023-12:00;02.03.2023-10:00;47;;eor;                                                                                                                                              
2812;Lahr;RF_TU;09.01.2004-23:00;09.01.2004-23:00;1;;eor;                                                                                                                                               
2812;Lahr;RF_TU;28.04.2004-00:00;28.04.2004-00:00;1;;eor;                                                                                                                                               
2812;Lahr;RF_TU;07.10.2004-17:00;07.10.2004-17:00;1;;eor;                                                                                                                                               
2812;Lahr;RF_TU;09.04.2007-15:00;09.04.2007-15:00;1;;eor;                                                                                                                                               
2812;Lahr;RF_TU;01.12.2008-10:00;01.12.2008-10:00;1;;eor;                                                                                                                                               
2812;Lahr;RF_TU;15.02.2009-13:00;15.02.2009-13:00;1;;eor;                                                                                                                                               
2812;Lahr;RF_TU;29.05.2009-04:00;29.05.2009-04:00;1;;eor;                                                                                                                                               
2812;Lahr;RF_TU;13.01.2014-01:00;13.01.2014-04:00;4;;eor;                                                                                                                                               
2812;Lahr;RF_TU;29.06.2021-14:00;29.06.2021-14:00;1;;eor;                                                                                                                                               
2812;Lahr;RF_TU;28.02.2023-12:00;02.03.2023-10:00;47;;eor;                                                                                                                                              
generiert: 15.05.2025 --  Deutscher Wetterdienst  --                                                                                                                                                    
