Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  2812;  186.00; 48.3436;  7.8830;19491001;19540715;Lahr
  2812;  175.00; 48.3410;  7.8604;19540716;19630531;Lahr
  2812;  180.00; 48.3425;  7.8601;19630601;19720612;Lahr
  2812;  185.00; 48.3344;  7.8706;19720613;19760610;Lahr
  2812;  170.00; 48.3394;  7.8622;19760611;19760707;Lahr
  2812;  205.00; 48.3450;  7.8861;19760708;19810331;Lahr
  2812;  158.00; 48.3459;  7.8253;19810401;19941231;Lahr
  2812;  155.00; 48.3657;  7.8285;19950101;20061120;Lahr
  2812;  155.74; 48.3647;  7.8280;20061121;20140317;Lahr
  2812;  155.74; 48.3647;  7.8280;20140318;        ;Lahr
